budget_period,analytic_complete_n,target_non_compliance_pct,target_non_compliant_n,target_compliant_n,data_source_label
2013-14,9300,51.8,4817,4483,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2014-15,15400,38.7,5960,9440,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2015-16,15100,55.2,8335,6765,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2016-17,4200,50.6,2125,2075,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2017-18,17400,57.9,10075,7325,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2018-19,15800,64.2,10144,5656,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2019-20,10200,52.8,5386,4814,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2020-21,10150,54.7,5552,4598,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2021-22,14100,55.8,7868,6232,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2022-23,14800,58.4,8643,6157,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2023-24,15600,60.1,9376,6224,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
2024-25,14050,62.5,8781,5269,SYNTHETIC_PORTFOLIO_DATA_NOT_REAL_CDC_PROVIDER_DATA
